time_ms,trial,obstacle,condition,cameraPositionX,cameraPositionY,cameraPositionZ
1111.5,1,cylinder,left,0,1.5,2.95
1185.699999999997,1,cylinder,left,0,1.5,2.95
1194.300000000003,1,cylinder,left,0,1.5,2.95
1203.699999999997,1,cylinder,left,0,1.5,2.95
1214.699999999997,1,cylinder,left,0,1.5,2.95
1225.800000000003,1,cylinder,left,0,1.5,2.95
1236.699999999997,1,cylinder,left,0,1.5,2.95
1247.6000000000058,1,cylinder,left,0,1.5,2.95
1258.800000000003,1,cylinder,left,0,1.5,2.95
1271.1000000000058,1,cylinder,left,0,1.5,2.95
1281.5,1,cylinder,left,0,1.5,2.95
1292.6000000000058,1,cylinder,left,0,1.5,2.95
1304.199999999997,1,cylinder,left,0,1.5,2.95
1316.699999999997,1,cylinder,left,0,1.5,2.95
1326.3999999999942,1,cylinder,left,0,1.5,2.95
1337.5,1,cylinder,left,0,1.5,2.95
1348.699999999997,1,cylinder,left,0,1.5,2.95
1359.3999999999942,1,cylinder,left,0,1.5,2.95
1372.1000000000058,1,cylinder,left,0,1.5,2.95
1383.699999999997,1,cylinder,left,0,1.5,2.95
1393.3999999999942,1,cylinder,left,0,1.5,2.95
1403.6000000000058,1,cylinder,left,0,1.5,2.95
1414.8999999999942,1,cylinder,left,0,1.5,2.95
1425.8999999999942,1,cylinder,left,0,1.5,2.95
1436.800000000003,1,cylinder,left,0,1.5,2.95
1448,1,cylinder,left,0,1.5,2.95
1461.199999999997,1,cylinder,left,0,1.5,2.95
1470.5,1,cylinder,left,0,1.5,2.95
1481.699999999997,1,cylinder,left,0,1.5,2.95
1493,1,cylinder,left,0,1.5,2.95
1504.800000000003,1,cylinder,left,0,1.5,2.95
1516,1,cylinder,left,0,1.5,2.95
1525.6000000000058,1,cylinder,left,0,1.5,2.95
1536.6000000000058,1,cylinder,left,0,1.5,2.95
1547.8999999999942,1,cylinder,left,0,1.5,2.95
1560.800000000003,1,cylinder,left,0,1.5,2.95
1574,1,cylinder,left,0,1.5,2.95
1582.5,1,cylinder,left,0,1.5,2.95
1593.300000000003,1,cylinder,left,0,1.5,2.95
1604.1000000000058,1,cylinder,left,0,1.5,2.95
1615.699999999997,1,cylinder,left,0,1.5,2.95
1627.5,1,cylinder,left,0,1.5,2.95
1637.5,1,cylinder,left,0,1.5,2.95
1648.800000000003,1,cylinder,left,0,1.5,2.95
1661,1,cylinder,left,0,1.5,2.95
1670.300000000003,1,cylinder,left,0,1.5,2.95
1684.5,1,cylinder,left,0,1.5,2.95
1692.5,1,cylinder,left,0,1.5,2.95
1705.6000000000058,1,cylinder,left,0,1.5,2.95
1714.6000000000058,1,cylinder,left,0,1.5,2.95
1728.5,1,cylinder,left,0,1.5,2.95
1738.6000000000058,1,cylinder,left,0,1.5,2.95
1749.800000000003,1,cylinder,left,0,1.5,2.95
1759.1000000000058,1,cylinder,left,0,1.5,2.95
1772.300000000003,1,cylinder,left,0,1.5,2.95
1781.300000000003,1,cylinder,left,0,1.5,2.95
1792.5,1,cylinder,left,0,1.5,2.95
1804.699999999997,1,cylinder,left,0,1.5,2.95
1814.699999999997,1,cylinder,left,0,1.5,2.95
1828.199999999997,1,cylinder,left,0,1.5,2.95
1837.300000000003,1,cylinder,left,0,1.5,2.95
1848,1,cylinder,left,0,1.5,2.95
1859.199999999997,1,cylinder,left,0,1.5,2.95
1872.699999999997,1,cylinder,left,0,1.5,2.95
1881.3999999999942,1,cylinder,left,0,1.5,2.95
1895.1000000000058,1,cylinder,left,0,1.5,2.95
1904.300000000003,1,cylinder,left,0,1.5,2.95
1917,1,cylinder,left,0,1.5,2.95
1925.6000000000058,1,cylinder,left,0,1.5,2.95
1936.6000000000058,1,cylinder,left,0,1.5,2.95
1948.3999999999942,1,cylinder,left,0,1.5,2.95
1959.300000000003,1,cylinder,left,0,1.5,2.95
1973.3999999999942,1,cylinder,left,0,1.5,2.95
1983.699999999997,1,cylinder,left,0,1.5,2.95
1992.3999999999942,1,cylinder,left,0,1.5,2.95
2004.8999999999942,1,cylinder,left,0,1.5,2.95
2014.300000000003,1,cylinder,left,0,1.5,2.95
2026.199999999997,1,cylinder,left,0,1.5,2.95
2036.699999999997,1,cylinder,left,0,1.5,2.95
2050.5,1,cylinder,left,0,1.5,2.95
2059.100000000006,1,cylinder,left,0,1.5,2.95
2070.100000000006,1,cylinder,left,0,1.5,2.95
2084.5,1,cylinder,left,0,1.5,2.95
2092.100000000006,1,cylinder,left,0,1.5,2.95
2106.199999999997,1,cylinder,left,0,1.5,2.95
2115.899999999994,1,cylinder,left,0,1.5,2.95
2126,1,cylinder,left,0,1.5,2.95
2136.800000000003,1,cylinder,left,0,1.5,2.95
2148.699999999997,1,cylinder,left,0,1.5,2.95
2160.600000000006,1,cylinder,left,0,1.5,2.95
2170.100000000006,1,cylinder,left,0,1.5,2.95
2182.699999999997,1,cylinder,left,0,1.5,2.95
2193.399999999994,1,cylinder,left,0,1.5,2.95
2203.600000000006,1,cylinder,left,0,1.5,2.95
2214.600000000006,1,cylinder,left,0,1.5,2.95
2226.800000000003,1,cylinder,left,0,1.5,2.95
2236.800000000003,1,cylinder,left,0,1.5,2.95
2248,1,cylinder,left,0,1.5,2.95
2259.199999999997,1,cylinder,left,0,1.5,2.95
2270.399999999994,1,cylinder,left,0,1.5,2.95
2282.399999999994,1,cylinder,left,0,1.5,2.95
2292.300000000003,1,cylinder,left,0,1.5,2.95
2305.5,1,cylinder,left,0,1.5,2.95
2315.300000000003,1,cylinder,left,0,1.5,2.95
2325.5,1,cylinder,left,0,1.5,2.95
2336.800000000003,1,cylinder,left,0,1.5,2.95
2347.800000000003,1,cylinder,left,0,1.5,2.95
2359.100000000006,1,cylinder,left,0,1.5,2.95
2370.300000000003,1,cylinder,left,0,1.5,2.95
2381.399999999994,1,cylinder,left,0,1.5,2.95
2392.899999999994,1,cylinder,left,0,1.5,2.95
2403.300000000003,1,cylinder,left,0,1.5,2.95
