time_ms,trial,obstacle,condition,cameraPositionX,cameraPositionY,cameraPositionZ
1506.6999999999534,1,human,right,0,1.5,2.95
1564.0999999998603,1,human,right,0,1.5,2.95
1569.3999999999069,1,human,right,0,1.5,2.95
1582.8000000000466,1,human,right,0,1.5,2.95
1593.0999999998603,1,human,right,0,1.5,2.95
1605.5,1,human,right,0,1.5,2.95
1616.1999999999534,1,human,right,0,1.5,2.95
1625,1,human,right,0,1.5,2.95
1636.0999999998603,1,human,right,0,1.5,2.95
1649.5,1,human,right,0,1.5,2.95
1661,1,human,right,0,1.5,2.95
1669.8999999999069,1,human,right,0,1.5,2.95
1680.8000000000466,1,human,right,0,1.5,2.95
1694.0999999998603,1,human,right,0,1.5,2.95
1703.1999999999534,1,human,right,0,1.5,2.95
1716.8000000000466,1,human,right,0,1.5,2.95
1725.1999999999534,1,human,right,0,1.5,2.95
1736.3999999999069,1,human,right,0,1.5,2.95
1747.5999999998603,1,human,right,0,1.5,2.95
1758.5,1,human,right,0,1.5,2.95
1772,1,human,right,0,1.5,2.95
1784,1,human,right,0,1.5,2.95
1793,1,human,right,0,1.5,2.95
1804.1999999999534,1,human,right,0,1.5,2.95
1816.5999999998603,1,human,right,0,1.5,2.95
1827.8000000000466,1,human,right,0,1.5,2.95
1838.8000000000466,1,human,right,0,1.5,2.95
1850,1,human,right,0,1.5,2.95
1861.5,1,human,right,0,1.5,2.95
1872.1999999999534,1,human,right,0,1.5,2.95
1882.0999999998603,1,human,right,0,1.5,2.95
1892.1999999999534,1,human,right,0,1.5,2.95
1903.3999999999069,1,human,right,0,1.5,2.95
1914.3999999999069,1,human,right,0,1.5,2.95
1926,1,human,right,0,1.5,2.95
1936.6999999999534,1,human,right,0,1.5,2.95
1948,1,human,right,0,1.5,2.95
1958.8999999999069,1,human,right,0,1.5,2.95
1970.3000000000466,1,human,right,0,1.5,2.95
1981.3000000000466,1,human,right,0,1.5,2.95
1992.3999999999069,1,human,right,0,1.5,2.95
2003.6999999999534,1,human,right,0,1.5,2.95
2018.0999999998603,1,human,right,0,1.5,2.95
2028.5999999998603,1,human,right,0,1.5,2.95
2039.1999999999534,1,human,right,0,1.5,2.95
2048.899999999907,1,human,right,0,1.5,2.95
2059.5999999998603,1,human,right,0,1.5,2.95
2072,1,human,right,0,1.5,2.95
2084.399999999907,1,human,right,0,1.5,2.95
2092.899999999907,1,human,right,0,1.5,2.95
2103.8000000000466,1,human,right,0,1.5,2.95
2115,1,human,right,0,1.5,2.95
2126.5999999998603,1,human,right,0,1.5,2.95
2137.6999999999534,1,human,right,0,1.5,2.95
2148.899999999907,1,human,right,0,1.5,2.95
2159.6999999999534,1,human,right,0,1.5,2.95
2170.5999999998603,1,human,right,0,1.5,2.95
2182,1,human,right,0,1.5,2.95
2193,1,human,right,0,1.5,2.95
2206.399999999907,1,human,right,0,1.5,2.95
2215.399999999907,1,human,right,0,1.5,2.95
2226.399999999907,1,human,right,0,1.5,2.95
2240.399999999907,1,human,right,0,1.5,2.95
2248.6999999999534,1,human,right,0,1.5,2.95
2263.5999999998603,1,human,right,0,1.5,2.95
2270.6999999999534,1,human,right,0,1.5,2.95
2282.5,1,human,right,0,1.5,2.95
2293.0999999998603,1,human,right,0,1.5,2.95
2304.5,1,human,right,0,1.5,2.95
2315.899999999907,1,human,right,0,1.5,2.95
2326.5999999998603,1,human,right,0,1.5,2.95
2338,1,human,right,0,1.5,2.95
2348.6999999999534,1,human,right,0,1.5,2.95
2360.1999999999534,1,human,right,0,1.5,2.95
2371.3000000000466,1,human,right,0,1.5,2.95
2385.3000000000466,1,human,right,0,1.5,2.95
2393.5,1,human,right,0,1.5,2.95
2405,1,human,right,0,1.5,2.95
2415.5999999998603,1,human,right,0,1.5,2.95
2427.0999999998603,1,human,right,0,1.5,2.95
2438.0999999998603,1,human,right,0,1.5,2.95
2449.0999999998603,1,human,right,0,1.5,2.95
2460.6999999999534,1,human,right,0,1.5,2.95
2472.5999999998603,1,human,right,0,1.5,2.95
2498.399999999907,1,human,right,0,1.5,2.95
2508.899999999907,1,human,right,0,1.5,2.95
2534.0999999998603,1,human,right,0,1.5,2.95
2538.399999999907,1,human,right,0,1.5,2.95
2541.3000000000466,1,human,right,0,1.5,2.95
2549.5999999998603,1,human,right,0,1.5,2.95
2560.399999999907,1,human,right,0,1.5,2.95
2571.5999999998603,1,human,right,0,1.5,2.95
2582.899999999907,1,human,right,0,1.5,2.95
2594.1999999999534,1,human,right,0,1.5,2.95
2608,1,human,right,0,1.5,2.95
2616.3000000000466,1,human,right,0,1.5,2.95
2627.399999999907,1,human,right,0,1.5,2.95
2641.399999999907,1,human,right,0,1.5,2.95
2652.0999999998603,1,human,right,0,1.5,2.95
2661.899999999907,1,human,right,0,1.5,2.95
2671.8000000000466,1,human,right,0,1.5,2.95
2683.3000000000466,1,human,right,0,1.5,2.95
2694.0999999998603,1,human,right,0,1.5,2.95
2705.5999999998603,1,human,right,0,1.5,2.95
2716.399999999907,1,human,right,0,1.5,2.95
2727.899999999907,1,human,right,0,1.5,2.95
2738.6999999999534,1,human,right,0,1.5,2.95
2750.5,1,human,right,0,1.5,2.95
2761.3000000000466,1,human,right,0,1.5,2.95
2772.8000000000466,1,human,right,0,1.5,2.95
2783.1999999999534,1,human,right,0,1.5,2.95
2794.5,1,human,right,0,1.5,2.95
2805.6999999999534,1,human,right,0,1.5,2.95
2820.5,1,human,right,0,1.5,2.95
2831.6999999999534,1,human,right,0,1.5,2.95
2838.8000000000466,1,human,right,0,1.5,2.95
2852.6999999999534,1,human,right,0,1.5,2.95
2862.5,1,human,right,0,1.5,2.95
2872.3000000000466,1,human,right,0,1.5,2.95
2883.6999999999534,1,human,right,0,1.5,2.95
2894.899999999907,1,human,right,0,1.5,2.95
2906.3000000000466,1,human,right,0,1.5,2.95
2917,1,human,right,0,1.5,2.95
2927.899999999907,1,human,right,0,1.5,2.95
2939.5999999998603,1,human,right,0,1.5,2.95
2950.5,1,human,right,0,1.5,2.95
2965,1,human,right,0,1.5,2.95
2975.1999999999534,1,human,right,0,1.5,2.95
2984,1,human,right,0,1.5,2.95
2995.1999999999534,1,human,right,0,1.5,2.95
3006.0999999998603,1,human,right,0,1.5,2.95
3017.3000000000466,1,human,right,0,1.5,2.95
3031.5999999998603,1,human,right,0,1.5,2.95
3043.1999999999534,1,human,right,0,1.5,2.95
3053.8000000000466,1,human,right,0,1.5,2.95
3065.899999999907,1,human,right,0,1.5,2.95
3077.1999999999534,1,human,right,0,1.5,2.95
3084.1999999999534,1,human,right,0,1.5,2.95
3095.3000000000466,1,human,right,0,1.5,2.95
3106.0999999998603,1,human,right,0,1.5,2.95
3117.399999999907,1,human,right,0,1.5,2.95
3128.6999999999534,1,human,right,0,1.5,2.95
3140.899999999907,1,human,right,0,1.5,2.95
3151.0999999998603,1,human,right,0,1.5,2.95
3165.1999999999534,1,human,right,0,1.5,2.95
3173.0999999998603,1,human,right,0,1.5,2.95
3188.1999999999534,1,human,right,0,1.5,2.95
3195.8000000000466,1,human,right,0,1.5,2.95
3207.8000000000466,1,human,right,0,1.5,2.95
3221.0999999998603,1,human,right,0,1.5,2.95
3228.899999999907,1,human,right,0,1.5,2.95
3240.399999999907,1,human,right,0,1.5,2.95
3830.1999999999534,1,human,right,0,1.5,2.95
3852.399999999907,1,human,right,-0.03560783341526985,1.8012268543243408,0.21295396983623505
3864.5,1,human,right,-0.03597404435276985,1.800148844718933,0.21296098828315735
3962.899999999907,1,human,right,-0.03612968698143959,1.7994755506515503,0.21299952268600464
4024.399999999907,1,human,right,-0.03712375834584236,1.7882187366485596,0.21202127635478973
4072.3000000000466,1,human,right,-0.03623667359352112,1.7838828563690186,0.21117866039276123
4173.09999999986,1,human,right,-0.03518153354525566,1.780577540397644,0.21098972856998444
4235.199999999953,1,human,right,-0.032736264169216156,1.7715425491333008,0.2101038545370102
4271,1,human,right,-0.031289827078580856,1.7673513889312744,0.20905575156211853
4308,1,human,right,-0.029548393562436104,1.7649492025375366,0.20680832862854004
4341.800000000047,1,human,right,-0.0290573388338089,1.7636737823486328,0.20597536861896515
4370,1,human,right,-0.028231916949152946,1.7615827322006226,0.20493915677070618
4391,1,human,right,-0.027708321809768677,1.7605527639389038,0.20402422547340393
4407.300000000047,1,human,right,-0.027500249445438385,1.760216474533081,0.20321033895015717
4421.699999999953,1,human,right,-0.027209199965000153,1.7602204084396362,0.20255368947982788
4434.5,1,human,right,-0.026945196092128754,1.7603843212127686,0.2017696350812912
6845.899999999907,1,human,right,-0.026722902432084084,1.7606356143951416,0.20094066858291626
6984.899999999907,1,human,right,-0.026464328169822693,1.7608226537704468,0.20012567937374115
7842.800000000047,1,human,right,-0.08349311351776123,1.8027219772338867,0.005042023025453091
8614.899999999907,1,human,right,0.00995650701224804,1.8260780572891235,-0.1003517135977745
8644.09999999986,1,human,right,-0.09363709390163422,1.739842414855957,-0.2292119860649109
8702.899999999907,1,human,right,-0.09949220716953278,1.7309179306030273,-0.2330184131860733
10257.699999999953,1,human,right,-0.1028175875544548,1.7318687438964844,-0.24103176593780518
10293,1,human,right,-0.09989304095506668,1.8246572017669678,-0.2519022226333618
13784.399999999907,1,human,right,-0.09911860525608063,1.822458267211914,-0.23891650140285492
13838.699999999953,1,human,right,-0.13966123759746552,1.808450698852539,-0.25286468863487244
13895.899999999907,1,human,right,-0.1388709545135498,1.8083164691925049,-0.2531586289405823
13938.59999999986,1,human,right,-0.13743934035301208,1.8080638647079468,-0.2531603276729584
13965.59999999986,1,human,right,-0.1360817402601242,1.808102011680603,-0.2533472776412964
13986.09999999986,1,human,right,-0.1356896162033081,1.808319330215454,-0.2534339427947998
14005.09999999986,1,human,right,-0.1353384405374527,1.808228850364685,-0.25355878472328186
14020.899999999907,1,human,right,-0.1345820128917694,1.8079946041107178,-0.2537643313407898
14035.300000000047,1,human,right,-0.1342189610004425,1.8078560829162598,-0.2538582980632782
14049,1,human,right,-0.13390453159809113,1.8079075813293457,-0.25411760807037354
